CYCLE,PK_RANDOM,Match,WGT,FK_EPA_RAN,NEST1_WT,EPA_OVERSAMPLE,EPA_DIVISION,C3_RESOURCE_TYPE,C1_RESOURCE_TYPE,C3_REPORTING_UNIT,C1_REPORTING_UNIT,GROUP_NAME,RANDOM_LAT,LAT_DD,LAT_MM,LAT_SS,LAT_DEC,RANDOM_LONG,LONG_DD,LONG_MM,LONG_SS,LONG_DEC,HYDROLOGIC_CODE,HYDROLOGIC_NAME,CAN_BE_SAM,EXCLUSION_CATEGORY,EXCLUSION_CRITERIA,SAMPLED_DATE,HECTARES,ANALYSIS_S,LOCATIONAL_DATUM,FK_PROJECT,DO_REGION,NNC_REGION,DO_CRIT,TN_NNC,TP_NNC,CHLA_NNC,Sample.Id,Station.No,Station.Name,Collect.Date,Sample.Type,Matrix,Water.Temperature,Water Temperature_VQ,Turbidity,Turbidity_VQ,Transparency..Secchi.Depth,Transparency (Secchi Depth)_VQ,Color..true,Color (true)_VQ,Specific.Conductance..Field,Specific Conductance  Field_VQ,Specific.Conductance,Specific Conductance_VQ,Oxygen..Dissolved..Field,Oxygen  Dissolved  Field_VQ,pH..Field,pH  Field_VQ,Alkalinity..Total..as.CaCO3,Alkalinity  Total (as CaCO3)_VQ,Total.Suspended.Solids..TSS,Total Suspended Solids (TSS)_VQ,Ammonia..Total..as.N,Ammonia  Total (as N)_VQ,Kjeldahl.Nitrogen..Total..as.N,Kjeldahl Nitrogen  Total  (as N)_VQ,Nitrate.Nitrite..Total..as.N,Nitrate+Nitrite  Total (as N)_VQ,Phosphorus..Total..as.P,Phosphorus  Total (as P)_VQ,Organic.Carbon..Total,Organic Carbon  Total_VQ,Calcium..Total,Calcium  Total_VQ,Magnesium..Total,Magnesium  Total_VQ,Sodium..Total,Sodium  Total_VQ,Potassium..Total,Potassium  Total_VQ,Chloride..Total,Chloride  Total_VQ,Sulfate..Total,Sulfate  Total_VQ,Fluoride..Total,Fluoride  Total_VQ,Coliform..Fecal..MF,Coliform  Fecal (MF)_VQ,Chlorophyll.A..Monochromatic,Chlorophyll-A (Monochromatic)_VQ,Pheophytin.A..Monochromatic,Pheophytin-A (Monochromatic)_VQ,Total.Dissolved.Solids..TDS.measured,Total Dissolved Solids (TDS measured)_VQ,Depth..Bottom.of.Waterbody..Sample.Site,Depth  Bottom of Waterbody  Sample Site_VQ,Sample.Depth,Sample Depth_VQ
1,NWA-HS-1001,,1,,1,,,SMALL STREAM,HIGH-ORDER STREAM,ZONE 1,NWFWMD-A,Ochlockonee - St. Marks,302101,30,21,1,30.35027778,844254,84,42,54,-84.715,3120003,OCHLOCKONEE RIVER,Y,,,8/17/2000,,,NAD27,,Panhandle,Panhandle East,67,1.03,0.18,20,NWHS0008-4,8620,NWA-HS-1001,8/17/2000 16:10,PRIMARY,WATER,32.53,,1.6,,0.25,,200,,118.2,,130,,3.14,,6.9,,44,,4,U,0.038,,0.64,,0.009,I,0.025,J,20,,23.5,,0.99,,2.7,,0.25,,4.9,,3.9,,0.1,U,48,Q,1,U,1,U,111,,0.25,,0.12,
1,NWA-HS-1002,,1,,1,,,LARGE RIVER,HIGH-ORDER STREAM,ZONE 1,NWFWMD-A,Ochlockonee - St. Marks,301050,30,10,50,30.18055556,842955,84,29,55,-84.49861111,3120003,OCHLOCKONEE RIVER,Y,,,8/16/2000,,,NAD27,,Panhandle,Panhandle East,67,1.03,0.18,20,NWHS0008-5,8622,NWA-HS-1002,8/16/2000 17:45,PRIMARY,WATER,27.02,,0.6,,0.93,,500,,61.1,,68,,5.78,,3.95,,1,U,4,U,0.019,I,1.2,,0.008,U,0.024,,47,,2.8,,0.51,,2.8,,0.18,I,4.1,,2.1,,0.1,U,2,Q,1,U,1,U,125,,0.93,,0.46,
1,NWA-HS-1003,,1,,1,,,LARGE RIVER,HIGH-ORDER STREAM,ZONE 1,NWFWMD-A,Ochlockonee - St. Marks,302956,30,29,56,30.49888889,842414,84,24,14,-84.40388889,3120003,OCHLOCKONEE RIVER,Y,,,8/15/2000,,,NAD27,,Panhandle,Panhandle East,67,1.03,0.18,20,NWHS0008-6,8623,NWA-HS-1003,8/15/2000 14:45,PRIMARY,WATER,30.15,,2.7,,1.5,,50,,278,,280,,5.27,,7.37,,45,,4,U,0.02,A,0.58,,0.38,,0.14,A,7.5,,14.5,A,6,A,23.4,A,6.6,A,39,,19,,0.24,,5,AQ,1,U,1,U,125,A,2.5,,0.5,
1,NWA-HS-1004,,1,,1,,,LARGE RIVER,HIGH-ORDER STREAM,ZONE 1,NWFWMD-A,Ochlockonee - St. Marks,301040,30,10,40,30.17777778,842951,84,29,51,-84.4975,3120003,OCHLOCKONEE RIVER,Y,,,8/16/2000,,,NAD27,,Panhandle,Panhandle East,67,1.03,0.18,20,NWHS0008-8,8624,NWA-HS-1004,8/16/2000 15:40,PRIMARY,WATER,26.67,,0.65,,0.5,,500,,60.6,,66,,5.85,,3.98,,1,U,4,U,0.036,J,1.2,,0.008,U,0.023,,53,,2.8,,0.5,,2.7,,0.19,I,4.1,,2.1,,0.1,U,6,Q,1,U,1,U,105,,0.9,,0.45,
1,NWA-HS-1007,,1,,1,,,SMALL STREAM,HIGH-ORDER STREAM,ZONE 1,NWFWMD-A,Ochlockonee - St. Marks,300546,30,5,46,30.09611111,843148,84,31,48,-84.53,3120003,OCHLOCKONEE RIVER,Y,,,8/28/2000,,,NAD27,,Panhandle,Panhandle East,67,1.03,0.18,20,NWHS0008-9,8625,NWA-HS-1007,8/28/2000 12:30,PRIMARY,WATER,26.1,,2.6,,0.2,,400,,69,,72,,4.9,,4.37,,1,U,8,,0.023,,1.1,,0.006,I,0.51,,46,,4,,2.1,,4.4,,0.13,I,8.8,,3.9,,0.32,,210,Q,1,U,1,U,66,,0.2,,0.1,
1,NWA-HS-1009,,1,,1,,,SMALL STREAM,HIGH-ORDER STREAM,ZONE 1,NWFWMD-A,Ochlockonee - St. Marks,302827,30,28,27,30.47416667,844950,84,49,50,-84.83055556,3120003,OCHLOCKONEE RIVER,Y,,,8/29/2000,,,NAD27,,Panhandle,Panhandle East,67,1.03,0.18,20,NWHS0008-10,8626,NWA-HS-1009,8/29/2000 14:00,PRIMARY,WATER,25.3,,1.5,,0.5,,80,,20,,24,,7,,6.21,,1,,4,U,0.019,I,0.26,,0.055,,0.046,,5.6,,1.2,,0.73,,1.6,,0.47,,3.2,,1.2,,0.1,U,66,Q,1,U,1,U,15,,0.5,,0.25,
1,NWA-HS-1010,,1,,1,,,SMALL STREAM,HIGH-ORDER STREAM,ZONE 1,NWFWMD-A,Ochlockonee - St. Marks,302143,30,21,43,30.36194444,844739,84,47,39,-84.79416667,3120003,OCHLOCKONEE RIVER,Y,,,8/21/2000,,,NAD27,,Panhandle,Panhandle East,67,1.03,0.18,20,NWHS0008-11,8627,NWA-HS-1010,8/21/2000 13:30,PRIMARY,WATER,25.45,,1.9,,0.7,,60,,24.1,,32,,6.96,,6.09,,5,,4,,0.022,,0.31,,0.087,,0.042,,4.4,I,3.1,,0.59,,1.6,,0.45,,2.7,,2,,0.1,U,460,Q,1,U,1,U,23,,0.7,,0.35,
1,NWA-HS-1013,,1,,1,,,SMALL STREAM,HIGH-ORDER STREAM,ZONE 1,NWFWMD-A,Ochlockonee - St. Marks,304024,30,40,24,30.67333333,842014,84,20,14,-84.33722222,3120003,OCHLOCKONEE RIVER,Y,,,8/24/2000,,,NAD27,,Panhandle,Panhandle East,67,1.03,0.18,20,NWHS0008-12,8628,NWA-HS-1013,8/24/2000 9:55,PRIMARY,WATER,23.22,,9.7,A,0.3,,120,,62.9,,84,,6.24,,6.78,,21,,4,,0.067,,0.55,,0.059,,0.12,A,8.8,,5.9,,2.4,,3.2,,1.6,,5.8,,1.9,,0.17,A,280,Q,1,U,1,U,53,,0.3,,0.15,
1,NWA-HS-1015,,1,,1,,,SMALL STREAM,HIGH-ORDER STREAM,ZONE 1,NWFWMD-A,Ochlockonee - St. Marks,302259,30,22,59,30.38305556,843434,84,34,34,-84.57611111,3120003,OCHLOCKONEE RIVER,Y,,,8/17/2000,,,NAD27,,Panhandle,Panhandle East,67,1.03,0.18,20,NWHS0008-13,8629,NWA-HS-1015,8/17/2000 12:20,PRIMARY,WATER,24.12,,0.8,,0.25,,60,,76.7,,76,,4.4,,3.93,,1,U,4,U,0.013,I,0.41,,0.004,I,0.009,I,11,,1.3,,0.43,,2.8,,0.068,I,4.6,,11,,0.1,U,34,Q,1,U,1,U,46,,0.25,,0.03,
1,NWA-HS-1016,,1,,1,,,SMALL STREAM,HIGH-ORDER STREAM,ZONE 1,NWFWMD-A,Ochlockonee - St. Marks,303215,30,32,15,30.5375,843046,84,30,46,-84.51277778,3120003,OCHLOCKONEE RIVER,Y,,,8/31/2000,,,NAD27,,Panhandle,Panhandle East,67,1.03,0.18,20,NWHS0008-14,8630,NWA-HS-1016,8/31/2000 15:00,PRIMARY,WATER,27.22,,6.9,,0.6,,80,,121,,140,,7.68,,7.31,,26,,4,,0.031,,0.54,,2.6,,0.095,J,7.8,J,7.6,,3.3,,13.3,,1.8,,13,,6.1,,0.1,U,94,Q,1,U,1,U,92,,0.6,,0.3,
