"","PK_RANDOM_SAMPLE_LOCATION","FK_EPA_RANDOM_ID","NEST1_WT","EPA_OVERSAMPLE","EPA_DIVISION","RESOURCE_TYPE","REPORTING_UNIT","RANDOM_LATITUDE","RANDOM_LONGITUDE","HYDROLOGIC_UNIT_CODE","HYDROLOGIC_UNIT_NAME","CAN_BE_SAMPLED","EXCLUSION_CATEGORY","EXCLUSION_CRITERIA","SAMPLED_DATE","HECTARES","ANALYSIS_SUITE","LOCATIONAL_DATUM","FK_PROJECT","NUTRIENT_WATERSHED_REGION","SCI_DO_BIOREGION_2012","TN_NNC","TP_NNC","DO_Conc"
"1","Z3-CN-14001","FLCC20001-001",37.5139952332,0,NA,"CANAL","ZONE 3",301823.82509,812708.63619,3080103,"LOWER ST. JOHNS","Y",NA,NA,2020-01-27 12:13:00,NA,NA,"HPGN","Z3CN2001","PENINSULAR","NORTHEAST",1.54,0.12,34
"2","Z3-CN-14002","FLCC20001-002",37.5139952332,0,NA,"CANAL","ZONE 3",284254.44188,810357.92642,3080101,"UPPER ST. JOHNS","N","UNABLE TO ACCESS","UNABLE TO GET EQUIPMENT TO RANDOM LOCATION",NA,NA,NA,"HPGN","Z3CN2001","PENINSULAR","PENINSULA",1.54,0.12,38
"3","Z3-CN-14003","FLCC20001-003",37.5139952332,0,NA,"CANAL","ZONE 3",293841.474,814613.61732,3080103,"LOWER ST. JOHNS","Y",NA,NA,2020-01-21 14:04:00,NA,NA,"HPGN","Z3CN2001","PENINSULAR","PENINSULA",1.54,0.12,38
"4","Z3-CN-14004","FLCC20001-004",37.5139952332,0,NA,"CANAL","ZONE 3",274418.36349,802912.75628,3080203,"VERO BEACH","Y",NA,NA,2020-01-13 13:27:00,NA,NA,"HPGN","Z3CN2001","PENINSULAR","PENINSULA",1.54,0.12,38
"5","Z3-CN-14005","FLCC20001-005",37.5139952332,0,NA,"CANAL","ZONE 3",302030.14994,815630.03876,3070204,"ST. MARYS","Y",NA,NA,2020-01-27 10:13:00,NA,NA,"HPGN","Z3CN2001","PENINSULAR","NORTHEAST",1.54,0.12,34
"6","Z3-CN-14006","FLCC20001-006",37.5139952332,0,NA,"CANAL","ZONE 3",285549.63873,810939.46488,3080101,"UPPER ST. JOHNS","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM OWNER",NA,NA,NA,"HPGN","Z3CN2001","PENINSULAR","PENINSULA",1.54,0.12,38
"7","Z3-CN-14007","FLCC20001-007",37.5139952332,0,NA,"CANAL","ZONE 3",292750.71892,812530.79272,3080103,"LOWER ST. JOHNS","Y",NA,NA,2020-01-22 10:21:00,NA,NA,"HPGN","Z3CN2001","PENINSULAR","PENINSULA",1.54,0.12,38
"8","Z3-CN-14008","FLCC20001-008",37.5139952332,0,NA,"CANAL","ZONE 3",273846.51328,802435.18377,3080203,"VERO BEACH","Y",NA,NA,2020-01-13 12:26:00,NA,NA,"HPGN","Z3CN2001","PENINSULAR","PENINSULA",1.54,0.12,38
"9","Z3-CN-14009","FLCC20001-009",37.5139952332,0,NA,"CANAL","ZONE 3",283046.70571,811445.16306,3080101,"UPPER ST. JOHNS","N","WRONG RESOURCE/NOT PART OF TARGET POPULATION","GIS COVERAGE INCORRECT, WATERBODY NOT PRESENT AT RANDOM LOCATION",NA,NA,NA,"HPGN","Z3CN2001","PENINSULAR","PENINSULA",1.54,0.12,38
"10","Z3-CN-14010","FLCC20001-010",37.5139952332,0,NA,"CANAL","ZONE 3",285437.65263,814812.63474,3080102,"OKLAWAHA","Y",NA,NA,2020-01-30 11:54:00,NA,NA,"HPGN","Z3CN2001","PENINSULAR","PENINSULA",1.54,0.12,38
"11","Z3-CN-14011","FLCC20001-011",37.5139952332,0,NA,"CANAL","ZONE 3",280506.77322,804202.88462,3080202,"CAPE CANAVERAL","Y",NA,NA,2020-01-14 09:18:00,NA,NA,"HPGN","Z3CN2001","PENINSULAR","PENINSULA",1.54,0.12,38
"12","Z3-CN-14012","FLCC20001-012",37.5139952332,0,NA,"CANAL","ZONE 3",274927.32117,803401.60912,3080203,"VERO BEACH","Y",NA,NA,2020-01-13 10:23:00,NA,NA,"HPGN","Z3CN2001","PENINSULAR","PENINSULA",1.54,0.12,38
"13","Z3-CN-14013","FLCC20001-013",37.5139952332,0,NA,"CANAL","ZONE 3",291748.3813,810806.22178,3080201,"DAYTONA-ST. AUGUSTINE","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM OWNER",NA,NA,NA,"HPGN","Z3CN2001","PENINSULAR","PENINSULA",1.54,0.12,38
"14","Z3-CN-14014","FLCC20001-014",37.5139952332,0,NA,"CANAL","ZONE 3",290408.99836,815158.39763,3080102,"OKLAWAHA","Y",NA,NA,2020-01-27 10:54:00,NA,NA,"HPGN","Z3CN2001","PENINSULAR","PENINSULA",1.54,0.12,38
"15","Z3-CN-14015","FLCC20001-015",37.5139952332,0,NA,"CANAL","ZONE 3",282044.02908,804746.20077,3080101,"UPPER ST. JOHNS","Y",NA,NA,2020-01-14 10:18:00,NA,NA,"HPGN","Z3CN2001","PENINSULAR","PENINSULA",1.54,0.12,38
"16","Z3-CN-14016","FLCC20001-016",37.5139952332,1,NA,"CANAL","ZONE 3",273331.15277,804410.51003,3090202,"EVERGLADES","N","NO PERMISSION FROM OWNER","ACCESS DENIED BY PROPERTY OWNER",NA,NA,NA,"HPGN","Z3CN2001","PENINSULAR","PENINSULA",1.54,0.12,38
"17","Z3-CN-14017","FLCC20001-017",37.5139952332,1,NA,"CANAL","ZONE 3",302040.97808,813456.42436,3080103,"LOWER ST. JOHNS","Y",NA,NA,2020-01-21 11:03:00,NA,NA,"HPGN","Z3CN2001","PENINSULAR","NORTHEAST",1.54,0.12,34
"18","Z3-CN-14018","FLCC20001-018",37.5139952332,1,NA,"CANAL","ZONE 3",285137.9012,810606.78075,3080101,"UPPER ST. JOHNS","Y",NA,NA,2020-01-22 11:21:00,NA,NA,"HPGN","Z3CN2001","PENINSULAR","PENINSULA",1.54,0.12,38
"19","Z3-CN-14019","FLCC20001-019",37.5139952332,1,NA,"CANAL","ZONE 3",294255.38386,813251.23351,3080103,"LOWER ST. JOHNS","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM OWNER",NA,NA,NA,"HPGN","Z3CN2001","PENINSULAR","PENINSULA",1.54,0.12,38
